,cloud_cost,cpu_usage,memory_usage,deployment_count,incident_count,api_latency,active_users,request_volume,error_rate,uptime_percentage
cloud_cost,1.0,0.9847591087591088,0.9585392985392985,-0.025012426696171385,-0.003137468408419762,0.03118941118941119,0.035972927972927976,0.031323235323235325,0.030248394248394248,0.005682041682041682
cpu_usage,0.9847591087591088,1.0,0.9136101376101377,-0.018678745612739498,0.0018041208350463838,0.03167712767712768,0.03647710847710848,0.032768576768576765,0.03294125694125694,0.00024207624207624209
memory_usage,0.9585392985392985,0.9136101376101377,1.0,-0.0417577380523422,-0.016802493030705034,0.03268977268977269,0.03761940161940162,0.031438795438795436,0.0261996741996742,0.020483492483492485
deployment_count,-0.025012426696171385,-0.018678745612739498,-0.0417577380523422,1.0,0.8527303404869058,0.19517674161437312,0.05122586079703381,0.044507611973346656,0.29545175548728275,-0.8473302300146391
incident_count,-0.003137468408419762,0.0018041208350463838,-0.016802493030705034,0.8527303404869058,1.0,0.21319420336076586,0.047252142635808944,0.042160048988990784,0.3328511680416001,-0.9907035870870115
api_latency,0.03118941118941119,0.03167712767712768,0.03268977268977269,0.19517674161437312,0.21319420336076586,1.0,0.9542746382746383,0.9555992835992836,0.9666584706584707,-0.21156688356688358
active_users,0.035972927972927976,0.03647710847710848,0.03761940161940162,0.05122586079703381,0.047252142635808944,0.9542746382746383,1.0,0.9841591201591201,0.9346241026241027,-0.047865551865551866
request_volume,0.031323235323235325,0.032768576768576765,0.031438795438795436,0.044507611973346656,0.042160048988990784,0.9555992835992836,0.9841591201591201,1.0,0.9475849435849436,-0.043063411063411064
error_rate,0.030248394248394248,0.03294125694125694,0.0261996741996742,0.29545175548728275,0.3328511680416001,0.9666584706584707,0.9346241026241027,0.9475849435849436,1.0,-0.33194197994197994
uptime_percentage,0.005682041682041682,0.00024207624207624209,0.020483492483492485,-0.8473302300146391,-0.9907035870870115,-0.21156688356688358,-0.047865551865551866,-0.043063411063411064,-0.33194197994197994,1.0
