,cloud_cost,cpu_usage,memory_usage,deployment_count,incident_count,api_latency,active_users,request_volume,error_rate,uptime_percentage
cloud_cost,1.0,0.9861539271015705,0.9609954441938939,-0.030160659703898533,-0.008116598423945858,0.013274779064189198,0.01706015507343126,0.013528176361047214,0.012146381251820028,0.008918154979605481
cpu_usage,0.9861539271015705,1.0,0.918328310819031,-0.024930104190625794,-0.00327040084102649,0.019229391033932997,0.02212886367627939,0.02007647824331207,0.019610067189632877,0.0033468802190876677
memory_usage,0.9609954441938939,0.918328310819031,1.0,-0.04109322052139091,-0.017898883348902675,0.009202046481075078,0.014858460361229023,0.009381604077680192,0.005222480989380113,0.01994462923208388
deployment_count,-0.030160659703898533,-0.024930104190625794,-0.04109322052139091,1.0,0.8646064826176587,0.18828051025571246,0.03939256444166156,0.03206960977013922,0.2929636626455461,-0.8591082761249557
incident_count,-0.008116598423945858,-0.00327040084102649,-0.017898883348902675,0.8646064826176587,1.0,0.20025470102535894,0.02766372520449664,0.021421129773981737,0.3230787825381431,-0.9915539013404785
api_latency,0.013274779064189198,0.019229391033932997,0.009202046481075078,0.18828051025571246,0.20025470102535894,1.0,0.9595375000145706,0.9604179699527255,0.9703079549486482,-0.1992852359673153
active_users,0.01706015507343126,0.02212886367627939,0.014858460361229023,0.03939256444166156,0.02766372520449664,0.9595375000145706,1.0,0.9857246307584185,0.9409639096123923,-0.028932614292587335
request_volume,0.013528176361047214,0.02007647824331207,0.009381604077680192,0.03206960977013922,0.021421129773981737,0.9604179699527255,0.9857246307584185,1.0,0.9525568264237506,-0.02314133291972855
error_rate,0.012146381251820028,0.019610067189632877,0.005222480989380113,0.2929636626455461,0.3230787825381431,0.9703079549486482,0.9409639096123923,0.9525568264237506,1.0,-0.3221484882993501
uptime_percentage,0.008918154979605481,0.0033468802190876677,0.01994462923208388,-0.8591082761249557,-0.9915539013404785,-0.1992852359673153,-0.028932614292587335,-0.02314133291972855,-0.3221484882993501,1.0
