team,environment,Total_Cost,Total_Incidents,Total_Deployments,Total_Active_Users
Backend,dev,141972.43641403154,504,1486,1308539
Backend,production,303111.0676514373,563,994,932809
Backend,staging,99271.2739780627,378,945,914142
Data,dev,45752.5091379124,151,878,844306
Data,production,97834.41230602024,262,670,696513
Data,staging,33040.305114112154,127,712,661718
DevOps,dev,20259.0688976716,69,473,401292
DevOps,production,52079.033252220455,130,340,295926
DevOps,staging,13599.1677399047,60,310,290297
Frontend,dev,42033.84001709859,145,837,804756
Frontend,production,77444.19427963842,208,575,556501
Frontend,staging,30807.343445324925,107,645,584659
Mobile,dev,21439.671431575607,80,418,467034
Mobile,production,54568.45327538997,126,388,293288
Mobile,staging,16916.50353004237,57,324,279546
Security,dev,23216.26371782343,83,496,414328
Security,production,39186.98574447624,82,277,269200
Security,staging,15267.151893257995,57,321,271869
