timestamp,cloud_cost,incident_count,deployment_count,active_users
2025-01-05,2617.494227806237,5,55,25157.04309088331
2025-01-12,3578.185951608779,11,68,34637.55574613931
2025-01-19,3250.5500244568334,12,81,34779.090480113024
2025-01-26,3444.094089602416,11,50,35746.80292285016
2025-02-02,3534.1650472044485,23,56,37198.613444512186
2025-02-09,3352.2287520327327,12,75,35092.439676619026
2025-02-16,3474.2827708457644,16,66,36237.61531537274
2025-02-23,3571.5947647707007,17,75,34772.876866873485
2025-03-02,3691.539223737078,16,82,33213.05228939146
2025-03-09,3653.5124959047735,21,69,36262.17133171743
2025-03-16,3662.602213732356,18,70,34549.0674186856
2025-03-23,3592.372977070946,14,69,35128.920266318804
2025-03-30,3681.425621564703,12,79,37493.05396879991
2025-04-06,3611.362965650536,13,64,37759.29440654472
2025-04-13,3597.572021348585,14,61,36116.50544930253
2025-04-20,3787.784332738749,13,74,36259.13720949237
2025-04-27,3749.6426941710524,9,78,35999.0832030086
2025-05-04,3760.885952395839,14,78,36756.479544843285
2025-05-11,3707.195294838556,15,76,33480.07728139635
2025-05-18,3707.5911729996296,15,67,38995.304948812285
2025-05-25,3768.4963434062042,17,52,35244.9084226542
2025-06-01,3766.2391080318416,11,68,36656.109466264126
2025-06-08,3811.6307366942156,13,63,36404.8619514577
2025-06-15,3920.2624540603847,12,65,38613.35238909319
2025-06-22,3821.4193057275934,20,62,34801.3407807885
2025-06-29,4106.350972794254,16,67,37017.96416210751
2025-07-06,3858.633581311636,10,72,36430.95699796985
2025-07-13,3712.071849533615,14,74,37775.68799892245
2025-07-20,3833.396062437175,9,75,36867.696297776056
2025-07-27,3962.3177789164565,17,67,37039.44119877301
2025-08-03,4273.430574927094,15,76,37377.58290815642
2025-08-10,3908.3171609725005,9,81,35899.129146191466
2025-08-17,3830.1884945455477,13,66,38964.19286972705
2025-08-24,4062.418053671473,16,69,36704.781424670255
2025-08-31,3856.4693456977884,15,58,35960.53201333403
2025-09-07,3991.0839314781338,17,70,36676.11238454413
2025-09-14,4089.6163842739197,11,57,37117.59304672489
2025-09-21,3762.2477892894353,8,69,37178.012453722855
2025-09-28,4004.4516002595014,16,79,38547.930460238014
2025-10-05,3967.0488895296776,11,82,35805.83334853524
2025-10-12,4186.711907044521,17,65,36980.962215875974
2025-10-19,3925.1670934943277,8,84,37973.68681789301
2025-10-26,4163.73472975192,11,98,35889.81951622711
2025-11-02,8914.699687693046,51,155,36882.17871984441
2025-11-09,7430.2911495319195,40,60,37649.527369386095
2025-11-16,4242.143800442914,18,76,37266.98824872597
2025-11-23,4165.513006369459,17,56,38339.20539942999
2025-11-30,4160.40834209849,15,70,36970.41502112623
